country,year,population,percentUrban,basic,limited,unimproved,surfaceWater,rate
Switzerland,2024,8922,74,100,1,1,1,0
Syrian Arab Republic,2024,24673,58,94,6,1,1,0.1
Tajikistan,2024,10591,29,89,3,2,6,1.4
Thailand,2024,71668,54,100,1,1,1,0.26
Timor-Leste,2024,1401,33,87,5,3,5,-
Togo,2024,9515,45,65,17,12,6,0.79
Tokelau,2024,3,0,100,1,1,1,0.12
Tonga,2024,104,23,99,1,1,1,0.01
Trinidad and Tobago,2024,1508,54,100,1,1,1,-
Tunisia,2024,12277,71,97,2,1,1,0.38
Türkiye,2024,87474,78,96,3,1,1,0.14
Turkmenistan,2024,7494,55,100,1,1,1,0.41
Turks and Caicos Islands,2024,47,94,99,1,1,1,-
Tuvalu,2024,10,67,99,1,1,1,-0.01
Uganda,2024,50015,27,63,23,10,4,1.53
Ukraine,2024,37860,70,93,6,1,1,-0.2
United Arab Emirates,2024,11027,88,100,1,1,1,0.02
United Kingdom,2024,69138,85,100,1,1,1,0
United Republic of Tanzania,2024,68560,38,65,13,12,11,1.5
United States Virgin Islands,2024,85,96,100,1,1,1,0.04
United States of America,2024,345427,84,100,1,1,1,-
Uruguay,2024,3387,96,100,1,1,1,0.11
Uzbekistan,2024,36362,51,97,1,1,1,0.42
Vanuatu,2024,328,26,87,3,5,5,0.07
Venezuela (Bolivarian Republic of),2024,28406,89,93,1,6,0,-0.16
Viet Nam,2024,100988,40,99,1,1,1,0.75
Wallis and Futuna Islands,2024,11,0,100,1,1,1,-0.01
Yemen,2024,40583,40,75,16,7,2,1.46
Zambia,2024,21315,47,73,7,14,6,1.13
